[0s] 我講講我的底層的投哲學吧
[466s] 很複雜的
[467s] 比如說如果從投資的角度
[469s] 什麼基本面分析
[471s] 包括各種各樣的這種
[473s] 哪怕是看盤看線這種
[474s] 是不是也都不是很少數
[476s] 看盤看線狀
[477s] 不看其實基本面
[478s] 後來才有了那個
[480s] 臺灣信息
[481s] 他給提供了一些書據服務
[484s] 你才看到一些
[485s] 採務指標
[487s] 還有這些相對多一點的這個
[489s] 基本面的信息
[491s] 你要研究基本面
[492s] 我們更多的是
[493s] 把中中帽
[495s] 上中帽
[496s] 正確實帽
[498s] 用簡直的方法
[499s] 貼到那個本上
[501s] 存下來
[502s] 自己去做一個
[504s] 讀書筆記
[505s] 這樣的
[506s] 完全是依靠媒體的信息
[508s] 是的
[509s] 也不會說我真的去那家企業
[511s] 找到延傻的
[512s] 那時候還不流行這些東西
[514s] 對
[515s] 一個是在營業部的
[516s] 就是說要建這個上市公司
[518s] 都連著想法都沒有
[520s] 那四個字背後代表什麼生意
[522s] 我覺得可能散禍
[524s] 聽您的意思應該是不知道的
[526s] 那比如你們交議員
[528s] 或者政權公司的人
[529s] 是不是對這些公司背後
[531s] 是什麼生意
[532s] 也沒什麼認知
[534s] 我覺得
[535s] 就是說頂多看一些基本信息
[538s] 但是
[539s] 更多的是看這個
[541s] 走勢
[542s] 那個時候
[543s] 也就是
[544s] 可以先分析
[545s] 成交量分析
[547s] 什麼MACD
[549s] RSI啊
[550s] 這些分析
[551s] 稍微高級一點
[553s] 就用波浪理論
[555s] 來數浪
[556s] 那個時候我還去參加了
[559s] 香港一個波浪理論大師子
[561s] 培訓班
[562s] 交錢了嗎
[563s] 公司交錢的
[564s] 你也不交錢的
[565s] 我就靠這個波浪理論
[567s] 當時在北京骨平圈
[569s] 還能振點錢
[571s] 那還真是學有所長
[572s] 其實就是
[574s] 振點的骨平的錢嘛
[576s] 因為這個時間比較長
[578s] 大概30年左右的時間
[580s] 您大概有印象就是
[582s] 整個的市場
[583s] 包括您在這個資本市場裡的觀察
[586s] 大概到了一個什麼時間
[588s] 就開始有這種所謂價值投資
[591s] 或者看企業基本面的這種流派了
[593s] 我呢
[595s] 95年年底
[596s] 因為中英中卷那個時候成立
[599s] 抽掉到總部
[601s] 在自營部門
[603s] 那個時候我就買了一本書
[605s] 叫巴菲特之路
[607s] 從看完這書以後
[609s] 因為我之前也不是學金融的
[612s] 我學字控的嘛
[614s] 看這書以後呢
[615s] 我呢
[616s] 那就是
[617s] 更多的去往這個
[619s] 價投資
[620s] 也方向去思考 實現
[622s] 我們之前聽過一些球友
[624s] 也講過這種故事
[626s] 早年可能
[627s] 如果淡凡有像您這麼長的
[629s] 投資經歷的這種
[630s] 老球友
[631s] 就是
[632s] 確實有
[633s] 那麼幾個人會提到
[635s] 早年的起蒙的書
[636s] 就是類似於像這種巴菲特的書
[638s] 對
[639s] 所以他當時介紹的是
[640s] 巴菲特的投資理念
[642s] 對
[643s] 他的投資理念
[644s] 還有一些案例
[646s] 他怎麼去看企業的
[648s] 當時看這本書
[649s] 最令你印象深刻的
[651s] 甚至改變你之後的一些
[653s] 思考方式的
[654s] 是哪些橋段嘛
[655s] 這個呢
[656s] 就是說我還真記不清嘛
[658s] 但我覺得呢
[660s] 買股票就是買企業
[662s] 最終就是你要買企業的這個價值
[666s] 所以呢
[667s] 你如果不想擁有這個企業
[669s] 那你也不要買他股票
[671s] 這個呢
[672s] 我覺得是
[673s] 可能是第一性的原因
[675s] 那這就2000年之前
[676s] 已經開始建立這種
[678s] 967年嘛
[679s] 市場呢
[680s] 就是全市場
[682s] 有像你這種觀點的
[684s] 大的這種風氣
[686s] 也是在那個時候開始的嘛
[687s] 還是更往後了
[689s] 我覺得應該
[690s] 就是在後面吧
[691s] 我記得可能97年才有證券法的嘛
[694s] 那在證券法頒布之前的話
[698s] 可能很多還是草馬的這個做法
[701s] 各個很多券商都是
[703s] 這種做妝
[704s] 不要升型
[705s] 所以大家都
[707s] 迷信這個做妝能夠證券
[709s] 其實做妝是很難證券的
[711s] 證券都是跟妝的
[713s] 然後呢
[714s] 我覺得架投資的話呢
[716s] 盛行的話呢
[718s] 應該是
[719s] 從97年之後
[721s] 證券基金
[723s] 行業開始期盟
[725s] 頒布了這個證券
[727s] 投資基金
[728s] 在一關的辦法
[729s] 98年
[730s] 就有了第一批的公務基金
[733s] 我呢
[734s] 就是當時呢
[735s] 有興呢
[736s] 進入了第一批的
[737s] 公務基金的這個基金經理這個行業
[740s] 原來
[741s] 你管的錢在音樂部說
[743s] 50萬
[745s] 到證券公司可能上千萬
[748s] 但是呢
[749s] 到了金公司呢
[750s] 那我作為第一批的公務基金經理
[753s] 上來
[754s] 就管20個億
[756s] 這當時都是撒會的錢
[757s] 還是很怕一份機構的錢
[759s] 對所有人都是開放的
[761s] 但是呢
[762s] 我們的前幾位的持有者
[765s] 全是保隱公司
[766s] 對
[767s] 所以那個時候呢
[769s] 我們就接觸
[770s] 像平安啊
[772s] 中國人手啊
[773s] 大型的保隱公司
[774s] 開始管的是封閉式的
[776s] 一封閉就15年
[778s] 這麼長時間
[779s] 對
[780s] 那時候全是封閉的
[782s] 我們前兩支基金
[784s] 一個20億
[786s] 一個30億
[787s] 全是封閉15年
[789s] 這個
[790s] 大家對基金其實也
[792s] 很多人我認為是
[794s] 不真正的清楚這個基金是什麼
[796s] 到底是什麼
[797s] 上來當著股票吵
[799s] 您知道
[800s] 就是一塊錢面子的這個基金
[802s] 上來就是
[804s] 吵到一塊五
[805s] 很多打心的
[806s] 打基金也都撞錢
[808s] 但他賣不了了
[809s] 能賣
[810s] 就是二級上流通啊
[811s] 他雖然不能生夠熟悔
[813s] 但是呢
[814s] 他能夠二級上賣出
[816s] 所以很多人呢
[817s] 就把他
[818s] 當著這個股票來吵
[820s] 一開始基金都是一家的
[822s] 這很難想像
[824s] 到後來呢
[825s] 基金就深度折價
[827s] 基金啊
[828s] 都是很正錢那時候
[830s] 有很多政策的這個
[832s] 扶持
[833s] 就產生了一個
[834s] 紛紅套利的這個機會
[836s] 因為你一紛紅
[837s] 比如一塊錢的面子
[839s] 靜直一塊錢
[841s] 二級上交易七毛錢
[843s] 您在分他個三毛錢
[845s] 他就一下子
[846s] 就有一個紛紅行情出現
[848s] 所以很有意思
[850s] 我覺得呢
[851s] 基金行業的發展
[853s] 也是經過一些波折
[855s] 但是到他發展到一定階段的時候
[857s] 價頭資的這種理念
[859s] 就深入人心了
[861s] 你剛是做那個金經理時候
[863s] 大概二十多歲是吧
[865s] 我做金經理是一九九九年
[868s] 大概二十八歲
[870s] 好年輕啊
[871s] 現在是不是也不可想像了
[873s] 二十八歲能做金經理嗎
[875s] 所以呢
[876s] 做投資要趁早
[878s] 就是人生規劃要趁早
[880s] 就是很多
[882s] 人的機會都是時代給的
[884s] 不是完全靠自己努力
[887s] 說你想幹啥就能幹啥的
[889s] 我對這個特別好奇啊
[891s] 就有兩個小問題想問問
[892s] 就第一個問題是
[894s] 比如說從我們現在的這一批人
[897s] 來看您這一代
[898s] 這種非常資深的投資人
[900s] 那我們還能說出來
[902s] 比如說有這種前輩級的
[904s] 像您至少在行業裡面
[906s] 從業僅30年時間的
[908s] 這樣的一個漫長的歷史
[910s] 所以您絕對是一個
[911s] 非常資深的一類了
[913s] 那這個市場上
[914s] 也有很多這種
[915s] 超級資深的從業者
[917s] 在你自己28歲的時候
[920s] 有沒有那種比你還大個
[922s] 二三十歲的這種
[924s] 你當時覺得是
[925s] 超級資深的從業者
[927s] 因為這個行業的中國才剛開始
[929s] 那當時有沒有所謂的
[931s] 更資深的人呢
[933s] 如果有的話
[934s] 那他們的背景是啥呢
[935s] 肯定有的
[936s] 一比如說整個政見市場的設計者們
[939s] OK
[940s] 那就是像連拜啊
[942s] 這些領導
[944s] 像我們整理公司的
[946s] 高層管理人員
[948s] 他們很早就是在
[949s] 沒有中國政見市場之前
[951s] 可能就去了美國
[953s] 日本學習
[955s] 像中心的領導
[957s] 他們有很多
[958s] 就是在美國學生回來的
[960s] 無論是長總還是
[962s] 東總這些
[964s] 還有呢
[965s] 就是去日本打和證券
[967s] 參與培訓
[969s] 像我們當時
[970s] 是因A部的李總
[972s] 他就是去的打和證券
[974s] 學習回來的開始
[976s] 籌備
[977s] 政見公司
[978s] 所以他們肯定是
[980s] 我們那個時代的前輩
[982s] 我們都是在這種
[983s] 前輩的帶領
[985s] 直影
[986s] 直導之下成長起來的
[988s] 這個是不是人就比
[989s] 現在可能少很多了啊
[991s] 這種人
[992s] 從各屬來說
[993s] 應該是少很多的
[995s] 尤其有影響力的
[997s] 那肯定是少很多
[999s] 可能在很早
[1000s] 就跟這些
[1002s] 極少數的
[1003s] 水平高的前輩們在一起
[1006s] 所以也受到了
[1007s] 這方面的巡通
[1009s] 那我不得不再問一個
[1010s] 就是因為
[1011s] 那會兒您剛才說
[1012s] 比如說這些
[1013s] 我們的政策的制定者
[1015s] 或者
[1016s] 初始我們這個體系的搭建者
[1018s] 那他們可能是
[1019s] 必須得出國學習嘛
[1020s] 把這個框架給拿回來對吧
[1022s] 您當時看到的這些前輩裡面
[1024s] 就是更多的是
[1026s] 他們是
[1027s] 為了中國的這個市場的建立
[1029s] 他們去學習
[1030s] 還是說真的有很多人
[1032s] 比如說是在美國
[1034s] 當時早年留學
[1036s] 在美國的政權市場
[1038s] 或者日本的政權市場
[1039s] 也真正從業
[1040s] 比如說自己在美國
[1042s] 曾經做過研究員
[1043s] 或者經濟經歷的
[1044s] 那就更少
[1045s] 那就非常少了
[1046s] 是更少了
[1047s] 其實挺難從
[1049s] 當時的前輩裡面
[1050s] 去學到說
[1051s] 在往前推個
[1053s] 20年的資本市場
[1054s] 我的各種操盤的經歷
[1056s] 這個可能就
[1057s] 會吸收
[1059s] 對
[1060s] 所以呢
[1061s] 那個時候
[1062s] 更多的是要向海外去學習
[1064s] 明白
[1065s] 所以那時候
[1066s] 如果有機會
[1067s] 能買到海外的這些書籍
[1069s] 我們都是
[1071s] 史為真榜
[1072s] 剛才說的第二個小問題
[1074s] 就是
[1075s] 你作為28歲
[1076s] 剛剛當這個公務基金經理
[1078s] 然後一下上來20個億
[1080s] 那個時候
[1082s] 你這個壽命之後
[1084s] 還記得是怎麼思考
[1086s] 我的投資框架的嗎
[1087s] 還形成了嗎
[1089s] 然後以及當時
[1090s] 是準備怎麼去運作這20個億呢
[1093s] 這個呢
[1094s] 都是在幹中學
[1096s] 學中幹
[1097s] 很普宿的
[1099s] 就是說
[1100s] 我要買好公司的股票
[1102s] 那個時候
[1103s] 就說
[1104s] 儘管你自己
[1105s] 沒有那麼懂
[1106s] 但是
[1107s] 行業
[1108s] 它有很多的基礎
[1110s] 那個時候
[1111s] 懷業是女研究所
[1113s] 南方證券研究所
[1115s] 他們都是很有影響力的
[1117s] 那麼他們呢
[1118s] 都有自己的一套
[1120s] 分析的框架方法
[1122s] 那麼
[1123s] 作為
[1124s] 你這個
[1125s] 資金的掌控者
[1127s] 你手裡握著50億的資金
[1130s] 它就是資源
[1132s] 也是資本
[1133s] 所以呢
[1134s] 就會有很多人
[1135s] 會給你提供
[1137s] 賣放的服務
[1139s] 其實是平台
[1140s] 給了你這樣的機會
[1143s] 因為有了這個平台
[1145s] 那麼其他人
[1146s] 都會分支他來
[1149s] 不懂的
[1150s] 都可以
[1151s] 請教
[1152s] 這些機構
[1153s] 我覺得呢
[1154s] 行業的發展呢
[1156s] 也會
[1157s] 促進在這個崗位上的人
[1160s] 不斷地去學習進步
[1162s] 那個時候
[1163s] 比如說你的整個
[1165s] 投資體系
[1166s] 或者比如說
[1167s] 你對
[1168s] 風險的這種控制
[1169s] 包括你的選股的邏輯
[1171s] 經歷過什麼波折沒有
[1173s] 可能不一定用波折來形容
[1176s] 它可能會有些挑戰
[1178s] 我們更多的是
[1180s] 自下而上的這個方法
[1183s] 在那個時候的話呢
[1185s] 完全自下而上
[1187s] 也是可以的
[1188s] 因為
[1190s] 那個時候的政權市場
[1192s] 跟整個經濟的
[1194s] 代表性
[1196s] 而言的話呢
[1197s] 因為那個市場很小
[1199s] 還不具備代表性
[1200s] 沒有太多代表性
[1202s] 其實只要政策
[1204s] 鬆一點閥門
[1206s] 前往裡
[1207s] 多注入一些
[1209s] 市場就會好起來
[1210s] 而且特別敏感
[1212s] 我覺得呢
[1213s] 更多的是在
[1215s] 那個小時候裡
[1216s] 去挑好的這個公司
[1219s] 那個時候的話呢
[1221s] 不像現在
[1223s] 就需要幾千個公司裡去挑
[1226s] 那個可能就是
[1228s] 幾百支
[1229s] 已經有幾百支了
[1230s] 對
[1231s] 那你在那幾百支裡去挑
[1233s] 那個時候
[1234s] 肯定沒有像現在或者
[1236s] 咱都不說
[1237s] 2026年了
[1238s] 那回到
[1239s] 比如說21年
[1240s] 或者在往前
[1241s] 就沒有特別明顯的
[1242s] 單邊的市場行情
[1244s] 是吧
[1245s] 應該說呢
[1247s] 就是中國的這個
[1249s] 初始階段
[1250s] 雖然整理趨勢
[1252s] 在波動中
[1253s] 是上升的
[1255s] 但是呢
[1256s] 它的那個波動特別大
[1258s] 有可能
[1259s] 直接大盤就漲停
[1261s] 也有可能直接就跌停
[1263s] 一篇報導
[1264s] 就可以讓它
[1265s] 直接連跌兩三天
[1267s] 而且呢
[1268s] 可能就是跌停板開盤
[1270s] 您還記得大家
[1271s] 992000年的時候
[1273s] 比如說最核心的
[1275s] 漲幅表達的這個
[1276s] 板塊是什麼
[1277s] 板塊
[1278s] 99年到2000年的時候
[1281s] 那是
[1282s] 互聯網
[1283s] 啟蒙的一回階段
[1285s] 美國都快泡沫了
[1287s] 接近泡沫
[1288s] 中國會之後
[1289s] 他一年
[1290s] 就是泡面
[1292s] 一項519行情
[1294s] 那時候
[1295s] 其實你沾點高科技
[1297s] 沾點刀的抗
[1298s] 就漲飛了
[1300s] 現在看了
[1301s] 肯定那些公司
[1302s] 原來的業務都不一定做了
[1304s] 好像那個時候的
[1306s] 一些股票
[1307s] 只是參股了
[1309s] 一個互聯網的
[1310s] 遇免的公司
[1311s] 就能漲
[1312s] 就是包括像
[1314s] 中官村
[1315s] 這樣的公司
[1316s] 他實際上做
[1317s] 建築的
[1318s] 因為這個
[1319s] 因為這個
[1320s] 名字
[1321s] 就是連續場
[1323s] 那個時候也是
[1324s] 崇尚科技
[1325s] 崇尚這個創新
[1327s] 但是呢
[1328s] 最終
[1329s] 01年到
[1330s] 05年這波
[1332s] 就是這些科技的
[1334s] 委科技的
[1335s] 公司
[1336s] 就會
[1337s] 水落師傅
[1339s] 實際上
[1340s] 很多人暴暢
[1341s] 01年到05年的
[1343s] 這個過程之中
[1344s] 就沒趕上
[1345s] 07年那波高點
[1346s] 很難
[1347s] 你不出清
[1348s] 最後
[1349s] 他的這個行情
[1350s] 也不會來
[1351s] 所以
[1352s] 01年到05年
[1353s] 你可以看到
[1354s] 有幾家
[1355s] 整領公司的破產
[1357s] 因為
[1358s] 自營啊
[1359s] 這些的脫類
[1360s] 最後
[1361s] 破產從足
[1362s] 它是因為
[1363s] 你剛才提到的
[1364s] DOTCOM這個經濟
[1365s] 它也未必是這個
[1367s] 但是呢
[1368s] 那個時候
[1369s] 自營也會集中
[1371s] 持護在某些股票上
[1373s] 這裡面
[1374s] 就會出現
[1375s] 很多的這個問題
[1377s] 幫我們接著先
[1379s] 大體上回顧一下
[1380s] 就是
[1381s] 因為你剛才提到
[1382s] 01到05之後
[1383s] 馬上就迎來了
[1384s] A股市場上的
[1386s] 最高點了
[1387s] 當時又是
[1388s] 有什麼樣的因素
[1390s] 從你們實際的
[1391s] 這個從業的角度看來
[1393s] 是推高到6000點的
[1395s] 這樣的一個因素呢
[1397s] 中國經濟呢
[1398s] 其實
[1399s] 在02到03
[1401s] 應該就是
[1403s] 建立了
[1404s] 但是呢
[1405s] A股市場
[1406s] 因為它在
[1407s] 01年的時候
[1408s] 激烈了
[1409s] 特別大的
[1410s] 這樣一個跑墨
[1411s] 所以它那個時候
[1412s] 孤止
[1413s] 很貴
[1414s] 那時候跟經濟
[1416s] 是並不完全
[1417s] 同步的
[1419s] 但是你看
[1420s] 香港市場其實基本上從
[1422s] 0203年以後
[1424s] 就走出了一個
[1426s] 相對比較好
[1428s] 持續上漲的行情
[1430s] 而且那個時候的
[1432s] 港股市場
[1433s] 跟中國經濟的代表性
[1435s] 是要比
[1436s] A股市場
[1437s] 代表性
[1438s] 要更強的
[1440s] 所以呢
[1441s] 到了05年時候
[1443s] 其實經濟
[1444s] 應該沒有那麼差
[1446s] 用WTO以後
[1447s] 房地產的
[1448s] 市場的啟動
[1450s] 其實經濟
[1451s] 沒那麼差
[1452s] 只是資本市場的
[1453s] 大家信心
[1455s] 是比較差的
[1456s] 那時候大家
[1458s] 比較夠病的
[1459s] 就是這個
[1460s] 股權分製
[1462s] 它不全流通
[1463s] 那麼國有股的這個
[1465s] 股權流通這個問題
[1467s] 始終是
[1468s] 壓制市場
[1469s] 估值的一個因素
[1471s] 我記得是在
[1473s] 01年的年中的時候
[1475s] 除了一個類似於
[1477s] 就是說
[1478s] 國有股流通的這樣一個文件
[1481s] 其實這個事情
[1482s] 那也是
[1484s] 其中的一個
[1485s] 市場回調
[1486s] 一個誘導的一個因素
[1488s] 那股權分製
[1489s] 這件事情的解決
[1491s] 就是
[1492s] 從05年
[1494s] 這個當口
[1495s] 正式的
[1496s] 往前推進
[1497s] 06年
[1498s] 07年的這個行情
[1500s] 有一大部分因素
[1502s] 是股權分製改革
[1504s] 作為流通股
[1505s] 你可以
[1506s] 這個國股
[1507s] 白送你
[1508s] 美食股
[1509s] 送你三股
[1510s] 等於
[1511s] 折扣的
[1512s] 拿到了這個股份
[1513s] 而且
[1514s] 到05年的時候
[1516s] 股市已經跌到1000點以下
[1518s] 所以那本身股市便宜
[1520s] 還送你
[1521s] 三到四股
[1523s] 就15啊
[1524s] 送你三到四股
[1525s] 本來就很便宜
[1526s] 再給你
[1528s] 30%的這樣一個安全編輯
[1531s] 本身就
[1533s] 很有心理了
[1534s] 其次呢
[1535s] 我覺得還有一件事情
[1537s] 就是我們的會率的這個
[1539s] 改革
[1540s] 那會率改革以後呢
[1543s] 一幅動
[1544s] 其實人幣呢
[1545s] 在整個的這個
[1547s] 房地產
[1548s] 市場啟動這些因素帶動之下
[1551s] 外資機構
[1552s] 也是
[1553s] 看到中國市場的機會
[1556s] 所以會率的改革對內部
[1558s] 整個市場的流動性的
[1561s] 寬鬆
[1562s] 奠定了
[1563s] 一個很好的一個基礎
[1565s] 所以讓我來回顧的話
[1567s] 我覺得
[1568s] 從宏觀層面
[1570s] 古改
[1571s] 會改增加了市場的這個信心
[1575s] 產業的趨勢
[1578s] 使得就是說
[1579s] 你有標地可頭
[1581s] 那個時候
[1582s] 產業的趨勢就是
[1584s] 房地產市場
[1585s] 剛剛開始
[1587s] 所以呢
[1588s] 就說與房地產市場相關的
[1591s] 房地產公司
[1592s] 建築公司
[1593s] 建裁公司
[1595s] 它是當時的市場的一個
[1597s] 主導產業
[1599s] 而且它的電調很長
[1601s] 所以呢
[1602s] 波蘭狀況的行情
[1604s] 就在那個時候
[1605s] 因為你是
[1606s] 04年管的
[1607s] 全國最大
[1608s] 121的這個
[1610s] 股票型基金
[1611s] 那時候是在長生基金
[1612s] 是吧
[1613s] 在中心
[1614s] 因為那裡
[1616s] 咱們說的
[1617s] 零六零七的
[1618s] 六一二四已經非常近了嘛
[1620s] 你在行情啟動的時候
[1622s] 是還在管那隻基金嗎
[1624s] 我當然是
[1625s] 還在管
[1626s] 所以你是實際上操盤了
[1628s] 它到頂峰的過程了
[1630s] 你還記得
[1632s] 當時在具體的股票上
[1634s] 有了什麼操作嗎
[1636s] 還是說
[1637s] 全市場都在這
[1638s] 反正選什麼都對
[1640s] 也不是
[1641s] 我那時候思路很清晰
[1643s] 我認為呢
[1644s] 我自身管這個
[1646s] 121
[1647s] 靠自己努力
[1649s] 肯定是不夠的
[1650s] 所以一定要靠團隊
[1652s] 要靠產業鏈的支持
[1654s] 一方面
[1655s] 我們把團隊
[1657s] 分成幾個組
[1659s] 另一方面
[1660s] 請了一些我認為的
[1662s] 當時比較優秀的這個
[1664s] 正確人就鎖
[1666s] 我給他們委託他們的課題
[1668s] 比如我當時就
[1670s] 委託給
[1671s] 我記得那個時候可能
[1673s] 應該是中金公司
[1675s] 因為我覺得他們的基本面的分析呢
[1678s] 是比較紮實的
[1680s] 就請他們給我
[1682s] 提供
[1683s] 50到100支的這個
[1686s] 名單
[1687s] 其實後面我們
[1689s] 參照這些
[1690s] 上下游的這種供應商
[1693s] 給我們提供的這個研究成果
[1695s] 以及我們內部的研究成果
[1697s] 其實呢
[1698s] 選股是比較容易的
[1699s] 所以那個時候我就投行業龍頭
[1702s] 後來這些行業龍頭確實
[1704s] 是你持有時間越長
[1706s] 得到的回報就越多
[1708s] 當時的主要貢獻的這個行業龍頭
[1712s] 還記得大概是哪些行業
[1714s] 房地產
[1715s] 機械
[1716s] 那個時候3-1還很便宜
[1719s] 食品飲料
[1720s] 無論是矛台還是1例
[1722s] 這些都會給你供應
[1724s] 封厚的這個回報
[1726s] 那是上一段對吧
[1728s] 因為我們之前
[1729s] 現在即刻兩總這個
[1731s] 來到雪球參加加年華的時候
[1733s] 他就講
[1735s] 零六年的時候
[1736s] 矛台感覺是個200出頭吧
[1740s] 差不多吧
[1741s] 差不多200出頭
[1742s] 您是指吃到的一波
[1744s] 是指可能它從更早的
[1746s] 幾十塊錢到200多這一段
[1748s] 對
[1750s] 其實很多股票
[1752s] 從低一點的高點
[1754s] 很多股票長了30倍
[1756s] 但他就是一直在長
[1757s] 其實有些呢
[1759s] 就是零七年見了高點以後
[1762s] 後面也回調了
[1763s] 但是現在的又比那個時候高點要高很多
[1766s] 我其實還挺好奇的
[1768s] 就是因為實際上
