[6s] Hello 大家好 欢迎来到我的波客节目起初连兵课
[9s] 我是大伟 问
[10s] 又到了一年一度的年报机中的真是中国系列了
[1068s] 那么那些项目其实在往前推
[1070s] 拿地成本都很高
[1071s] 最后销售的时候价格又抬不上去
[1074s] 所以毛利总额大幅兼少
[1076s] 这个很能理解
[1077s] 但除了这个之外还有三点原因
[1080s] 第二点这个亏损的原因是
[1082s] 因为业务风险长口升高
[1084s] 所以新增计题了信用简直和资产简直
[1088s] 第三点
[1088s] 部分经营性业务扣除折韭摊销后整体亏损
[1092s] 以及部分非主业的财务投资也在亏损
[1096s] 第四点
[1096s] 部分大踪资产交易和股权交易价格低于账面值
[1101s] 所以你可以看到真的是可以说是强导重人推
[1105s] 一个公司它处在行业下星期的时候
[1107s] 不光是它的主业业务会受到很大的影响
[1110s] 而且它会去做很多的资产简直和信用的计题
[1115s] 以及它可能在做的其它协业务
[1118s] 比如说进行业务
[1119s] 我理解万科这里指的就是一些比如说它旗下的酒店
[1123s] 商场等等的这些业务业出现了亏损
[1127s] 而它在做的一些财务投资
[1128s] 因为一般的企业它做财务投资都是对自己的产业链上下游进行投资
[1133s] 那么整个产业链不好
[1135s] 所有的这些财务投资也在亏损
[1137s] 最后一点就是因为先进流不好了
[1140s] 然后流动性紧张所以我要出售我的一些资产
[1143s] 那出售的时候卖的价格这些买家显然不会有好脸色给他们看
[1150s] 其实出的价格也会非常的低
[1152s] 所以这些大宗资产的交易和股权交易价格
[1155s] 也会低于原来的计账的账面值
[1158s] 所以种种的这些因素都会导致一个企业
[1162s] 当它一旦亏损的时候这个亏损额会大的惊人
[1166s] 在举个例子就是同样是在房地产的产业链上的
[1170s] 红星梅凯龙以前叫红星梅凯龙现在就叫梅凯龙
[1173s] 它是装修建材商业的可以说是网者
[1177s] 它在2025年同样据亏了100亿人民币
[1181s] 那么它的原因是什么呢
[1183s] 除了这些所谓的比如说地产行业不仅器
[1186s] 然后加剧建材行业需求下滑
[1188s] 所以公司需要去减免租金
[1191s] 减免管理收入用此来稳固它的一些商户
[1195s] 因为它的这些装修建材商场里面都是一个一个小商户
[1199s] 那么租金水平叫以往年度显租下降
[1202s] 但除了这个之外它不是亏100多亿
[1205s] 它是亏了200多亿
[1206s] 它的200多亿亏损只更多是来自于由于市场
[1211s] 对未来租金预期发生了转变
[1214s] 租金价格短期内得到修复的估计也需要调整
[1217s] 所以公司对未来租金预期的收益情况进行了相应调整
[1222s] 投资型房地产价值显租下降
[1224s] 那么2025年公司供允价值变动合计损失了234.4亿元
[1230s] 就这一点其实在过去的一轮一轮的行业周期里边是在反复发生的
[1235s] 比如说2015年的TMT
[1237s] 就是中国的这些一些科技
[1240s] 然后一些传媒公司
[1242s] 其实在出现亏损
[1244s] 在出现行业周期下行之后
[1245s] 大幅的计题自己原来并够的公司或者说去买的一些资产
[1251s] 然后再到2022年的新能源企业
[1253s] 其实也出现过这样的一些大幅的亏损
[1256s] 包括我们去看美国在次代危机金融危机的时候
[1259s] 这些企业在出报表的时候
[1261s] 也不光是它的主营业务亏损
[1263s] 它往往都在背后的这些资产端有非常多的问题
[1269s] 我觉得这就是现代经济运行的一种残酷性
[1272s] 它的逻辑跟以前是不一样了
[1274s] 以前你开一个小店
[1276s] 可能你进多少货 卖多少货
[1279s] 你亏损无非就是一个亏主营业务
[1282s] 但是现在的话在每一个行业的上行期
[1286s] 它企业手上的任何资产都能获得比较高的估值
[1291s] 所以看起来就不光是一个歌舞生评
[1294s] 而且是在突飞猛进
[1296s] 而到了下行期的时候
[1298s] 就不光是主业会亏损
[1300s] 同时你手上的资产也会一併地缩水
[1303s] 我就想起我在录制机节目的时候
[1306s] 比较火的一个事情就是白酒的龙头五两夜
[1309s] 大家关注的可能是A
[1311s] 它怎么能够去把去年的记报去去修改
[1314s] 然后把原来已经放在账上的所谓的收入跟利润
[1319s] 全部一笔勾销
[1320s] 但这个背后如果你再深挖一层
[1322s] 是因为它原来把所有压给经销商的火
[1327s] 就算做自己的收入和利润了
[1329s] 现在在行业下行期这样的做法显然是不成立了
[1332s] 因为你压给经销商
[1334s] 经销商也卖不出去
[1335s] 最终还是要返回到你手里
[1337s] 那么它就把这个动作进行回条
[1340s] 所以我们也可以理解城市一种食物资产的简直
[1344s] 就是原来我已经认为我有了这些白酒的库存的价值
[1348s] 现在全部要一笔勾销
[1350s] 也就可以看到类似这样的事情
[1352s] 不光是在房地产行业在发生
[1354s] 其实在各行各业
[1356s] 只要你处在下行期都会发生
[1358s] 那么再往生奖一层
[1360s] 它给我们的一个企势是什么呢
[1362s] 就是现代的企业运行
[1364s] 不管你是任何行业
[1366s] 几乎都是加了杠杆的
[1368s] 这背后的杠杆有它所谓直接的
[1370s] 大家看到的去银行贷款
[1372s] 或者说谷权融资
[1374s] 这样子加上去的杠杆
[1375s] 同时也包括了做很多的监禁重组
[1378s] 做很多的资产收购的同时进行的一个杠杆的跌假
[1384s] 特别是新星产业
[1385s] 容易出现这样的情况
[1387s] 所以我们如果在做投资
[1389s] 就是在做个人的这种股票投资的时候
[1392s] 你还要再往上加杠杆
[1395s] 我这里就不点名
[1397s] 就具体我在说的是什么行业了
[1399s] 就是现在的很多新星行业
[1401s] 科技行业大家会用加杠杆的方式做投资
[1404s] 那你其实是在企业运行的杠杆
[1406s] 基础上又做了一个成熟
[1408s] 那当然在上行期所有人都是好的
[1411s] 而且甚至你的资产
[1413s] 你的投资收益会以成倍速的方式增长
[1416s] 但是一旦杭业拐头向下
[1420s] 杭业周期出现了下行的话
[1423s] 那么你说的损失
[1424s] 不光是你自己手上杠杆的损失
[1427s] 同时这个企业的经营的杠杆也会崩塌
[1431s] 它会造成一个成熟效应
[1433s] 这个是我觉得所有做投资的人
[1436s] 一定要注意的
[1437s] 也是现在的很多这种特别是新星产业
[1441s] 它的运行的机制跟更加传统的
[1444s] 不管是消费行业
[1445s] 还是当然我刚才说消费行业
[1447s] 其实也有杠杆 对吧
[1448s] 或者是更加古老的这种
[1450s] 经营企业经营不一样的地方
[1452s] 那如果说到卖资产的话
[1454s] 我还想再举两个例子
[1456s] 第一个就是你会看到房地产行业
[1459s] 它的一个低迷其实蔓延到
[1462s] 或者说也体现在和这些住宅配套的商场上面
[1466s] 因为我就看到很有趣
[1468s] 一个看起来关系不大的企业
[1470s] 就是香港地铁港铁
[1472s] 它在它的年报里面就看四轻描淡写的提了一句
[1476s] 它说二零二六年二月份
[1478s] 也就是不是在二五年是在二六年
[1481s] 总楼面面级约一万平方米的深圳送贿商场项目
[1485s] 未能成功招标出售
[1487s] 那我就去查了一下这个送贿商场是什么
[1490s] 它其实是杠铁在内地的
[1493s] 第一个商业旗舰作品
[1495s] 它把那个地铁站是在深圳的龙华附近
[1498s] 这个地铁站的上盖
[1500s] 它的住宅其实都已经在很多年前就卖掉了
[1503s] 那么底下的底商
[1505s] 它把它取名叫送贿商场一直是自己自持的
[1509s] 但是到了二零二二六年二月份
[1511s] 因为种种原因
[1511s] 它想把它去做一个一次性的出手把它卖掉
[1514s] 结果产造楼标就是这个资产
[1517s] 根本卖不出去
[1518s] 这还是在深圳的一个商场
[1520s] 从这中间也可以一馈
[1522s] 就是现在中国的线下零售
[1525s] 行业是多么的不仅弃
[1527s] 当然因为杠铁它自己的进行性
[1530s] 流还是不错的
[1531s] 所以并没有影响到它真正的业绩
[1534s] 但是如果我们去看另外一个卖资产的例子
[1536s] 就是地方政府
[1538s] 地方政府不是卖其他资产
[1540s] 它是卖地
[1541s] 就现在很多的地方政府因为房地产行业的不仅弃
[1545s] 所以它地卖不出去了
[1546s] 它也会焦虑
[1548s] 我就发现了另外一个很有趣的案例
[1550s] 发生在这商护航用Ritz里面
[1554s] 这商护航用Ritz
[1555s] 其实它是一个高速公路Ritz
[1557s] 它里边的资产包里面有一块
[1559s] 叫做航灰高速公路
[1560s] 应该是航州的安灰的高速公路
[1563s] 以前其实我没有关注过高速公路
[1565s] 它的通行费到底都是怎么收取的
[1568s] 我非常直觉或者说非常理所当然的认为
[1572s] 当然是我们倒是收费战
[1574s] 然后把钱付给它
[1575s] 这就是它的通行费的收入
[1578s] 结果我就发现在今年的这商护航用Ritz里面
[1582s] 说了一个情况
[1583s] 是说航灰高速公路在航州林安区有一段
[1588s] 其实在过去很多年
[1590s] 如果你是用计账卡ETC
[1592s] 牛ETC的这个卡去通行的话
[1595s] 如果你是质A牌照
[1596s] 这A就是航州了
[1597s] 还有质M牌照
[1599s] 我没有去查到质M是哪里
[1601s] 它的医类客车都是免收通行费的
[1604s] 但是在收入端还是记入的
[1607s] 怎么记入的就是这笔钱
[1609s] 其实是由林安区人民政府买单的
[1612s] 林安区人民政府为什么要买单呢
[1614s] 是为了提升路网运营效率
[1617s] 环节城市交通拥堵
[1619s] 降低出行成本促进经济发展
[1622s] 也就是说每年航灰高速公路
[1624s] 会告诉这个通过ETC的这个数据
[1627s] 告诉林安区的人民政府
[1629s] 今年有多少车通行
[1631s] 然后政府根据这个数据
[1633s] 就把相应的通行费收入
[1634s] 其实是交给高速公路公司的
[1637s] 而且这个金额还不小
[1638s] 2025年有1.35亿元人民币
[1642s] 那么占了整个这个
[1643s] 护航用Ritz的资产包全部收入的
[1646s] 2019.05亿
[1647s] 接近20了
[1649s] 然而根据今年也就是2025年
[1652s] 这个Ritz的年报披露说
[1654s] 林安区2025年一般预算公共收入85.4亿元
[1658s] 同比下降了10.5亿元
[1661s] 财政收入面临一定压力
[1663s] 这句话我特别去找了一下
[1665s] 在2024年年报的
[1667s] 同样的位置出现的话是说
[1669s] 航州市林安区2024年GDP732.9亿
[1673s] 经济发展状况良好
[1675s] 它根本就没有提收入是多少
[1677s] 或者说有没有一个
[1679s] 还差的压力
[1680s] 今年的年报是第一次提
[1682s] 这个部分还是可以体现出
[1685s] 地方政府的一个压力
[1688s] 理论说2024年应该是压力的最核心的嘛
[1691s] 所以才会在9月份有一个画债的出现
[1695s] 但是显然它其实是有一个之后效应的
[1697s] 或者说延迟效应的
[1699s] 到了2025年对于这些地方政府来说
[1702s] 因为它的收入持持没有上涨
[1704s] 虽然画债可能可以帮它解决
[1707s] 一部分利息短的压力
[1708s] 但是你的公共收入依然在下降
[1711s] 那么接下来的问题就是房地产行业
[1713s] 它千年的产业链
[1715s] 或者它千年的部分远远大于我们原来想的
[1719s] 它只是上游的基建下游的装修
[1721s] 再到家店就完事了
[1723s] 甚至也就是包括居民部分的一个财富效应等等的
[1727s] 你会发现它甚至跟高速公路的通行费
[1730s] 也会在几轮周转之后产生一个关联
[1734s] 2025年中国产业的这个K星分化
[1737s] 其实下面的这一笔K除了房地产产业链之外
[1741s] 还有一些行业
[1743s] 它是对上游资源平漲价相对敏感
[1745s] 而下游竞争又比较激烈
[1747s] 无法传导这个漲价的行业
[1749s] 也受到了比较多的影响
[1751s] 这里我想取得一个例子是过去几年
[1753s] 一直被我当作魔犯标兵当作一个正面榜样的会穿技术
[1759s] 也就是我们的公控龙头
[1761s] 它在今年的年报的风险提示里面是这么讲的
[1764s] 它说公司主要产品的上游原材料
[1767s] 包括同履规刚攻略半导体等
[1770s] 大宗商品及攻略半导体加格上涨会对
[1773s] 公司的引力水平带来不利影响
[1775s] 行业竞争加剧主机厂向上游传导成本家里
[1779s] 主机厂这里说的包括新能源车
[1781s] 因为它现在有很大的一个新能源车的业务范围
[1786s] 主机厂自治比例提升会导致第三方供应商动力系统行业竞争加剧
[1791s] 如果行业竞争进一步加据则公司产品面临降价风险
[1795s] 从而对公司业绩产生不利影响
[1798s] 当然整个刚才说的这一段都是它的风险提示
[1801s] 并不是说它现在已经发生的事情
[1803s] 但是我去对比了一下
[1805s] 这一段话在2024年的年报里面是没有的
[1808s] 在25年年报是第一次出现
[1811s] 那么紧接着在会穿技术发布的2026年
[1815s] 一纪报中就交出了一份
[1818s] 可以说是增收不增利
[1819s] 收入虽然在增长
[1820s] 但是利润下滑的业级
[1822s] 也就是我们最早讲的
[1823s] 它也出现了很多行业出现的利润率下滑
[1826s] 就虽然我保住了我的量收入还在增长
[1830s] 但是因为价格下降
[1831s] 所以我的利润下降这样的一个情况
[1833s] 那除此之外
[1834s] 还有很多的这种制造业的行业龙头也出现了
[1838s] 也在年报里面表达了类似的观点
[1841s] 比如说防物领域的龙头中央光电
[1844s] 就说防物领域需求出现了阶段性放缓
[1847s] 但于此同时黄金同白营等贵金属
[1850s] 及大宗物料价格持续走高
[1852s] 给公司引力带来了不小压力
[1855s] 所以我觉得我们很多股市的投资者
[1858s] 或者是很多的观察的媒体
[1860s] 它可能可以看到上游资源平涨价对于那个行业的好处
