[12s] 你好 欢迎来到投资ABC
[14s] 这是一档有有之有型
[215s] 首先它是一份年报
[217s] 它必须是延解
[218s] 所以一些公式
[220s] 一些必要的这种解释
[222s] 我们希望尽量解解的
[224s] 清晰的去表达出来我们的观点
[226s] 那同时也是照顾到可能
[229s] 没有怎么接触投资
[230s] 或者刚接触投资的朋友
[231s] 刚刚在图表上就下了很多的功夫
[234s] 包括我们在图表下面
[236s] 会写上一些非常清晰的结论
[238s] 也许大家文字可能
[240s] 不是那么能看进去
[241s] 其实没有关系
[242s] 你能记清楚那些重要的结论
[245s] 可能在你的投资的过程中
[247s] 就慢慢回去理解
[249s] 尤其是SBBI今年其实已经是第三年了
[252s] 然后我自己在翻前两年年报的时候
[255s] 能感觉到它如果是一个小baby的话
[257s] 它就逐渐越来越长大
[258s] 然后越来越成熟
[260s] 像今年交互的图表
[261s] 就是我自己很喜欢的一个升级
[263s] 那如果我们回数一下
[265s] 就是三年前
[266s] 大家东心起念想做这个年报
[268s] 当时的那个契机是什么
[269s] 因为对我来说
[270s] 是一个挺大的项目的
[272s] 然后设计到的
[274s] 不管是设计
[275s] 文字的编辑
[276s] 还是数据的整理的工作量都非常的大
[278s] 如果我们选择去做这件事情
[280s] 当时的想法是什么
[282s] 如果说讲SBBI这个项目的话
[284s] 最早的可能是跟我的关系
[286s] 稍微多一点
[287s] 因为过去十年里边
[288s] 我一直在研究金融数据的这方面的事情
[291s] 过去是看国内的数据比较多
[294s] 大概从2021年
[295s] 然后沉默是加入我们团队
[297s] 开始给我们介绍国外的数据
[298s] 以及研究方法
[300s] 然后包括他们的标准和规范
[302s] 其中他就提到了
[303s] 说他曾经第一份工作就是做的
[306s] SBBI的数据
[306s] 美国版的SBBI的年报
[309s] 看完之后
[310s] 我觉得原来确实是有这种非常底层
[313s] 然后有非常长时间的这些基础数据
[316s] 可以继续帮我们去理解投资这种事情
[320s] 我就很兴奋
[321s] 我慢慢就蒙发这种想法
[323s] 说我们是不是可以类似出一个年报
[326s] 把这些BBI的数据走回来一块
[329s] 然后去推给大家
[330s] 后来就跟孟爷跟沉默是商量
[332s] 那沉默是大家都知道
[334s] 他一直也有这个想法
[335s] 就是把美国版的
[337s] 他做了很多年的研究框架和研究的数据
[340s] 引入到中国来
[341s] 所以当时说
[342s] 那我们先试一试
[343s] 但你一开始接触到美国版的数据的时候
[345s] 因为你自己本身是一个数据分析师
[348s] 我理解你应该接触的数据
[351s] 面和类型都是非常多的
[352s] 为什么当时美国版的年报会让你觉得
[354s] 说就这个数据非常特别呢
[357s] 我觉得很特别的一点
[358s] 是在于说其实不至是数据
[361s] 他那个年报
[361s] 大家可能觉得
[362s] 文字大家都不会读
[363s] 我是不一样的
[364s] 请代表个人观点
[365s] 就是我自己在看的时候
[367s] 有点忽略我人自了
[368s] 美国版的年报
[369s] 更长
[370s] 缩略版
[371s] 就有三四百亿
[373s] 但当时我看了之后
[374s] 我觉得
[375s] 哇
[375s] 讲得太好了
[376s] 第一
[377s] 他用很长期的观点
[378s] 他用排除这种偶然性
[381s] 性运性
[382s] 或者说偏见的方法
[383s] 去给你呈现这个数据和规律
[385s] 这一点在我之前的
[386s] 比如说我们看国内数据的时候
[387s] 经常就会被忽略
[389s] 因为国内数据第一是时间比较短
[391s] 但是大家流传的很多的观点和研究方法
[394s] 其实是暂量一个比较短期的角度
[396s] 去看说
[397s] 这个数据
[398s] 就是这样的
[399s] 但是你投资
[400s] 你会发现
[401s] 那些短期的数据
[403s] 或者短期的观点
[404s] 稍微时间一查
[405s] 市场周期一遍
[406s] 就不起作用了
[407s] 那我第一次看到
[408s] 这么长时间数据
[409s] 他讲的都是非常底层和普世的那些规律
[412s] 他没有讲那些
[413s] 看似来很高深
[415s] 或者说我超越别人的累制
[417s] 这种能力没有
[418s] 明白
[419s] 那岗岗和童童呢
[420s] 我觉得就是两个词
[422s] 普速剪接
[424s] 这个普速我是非常喜欢的
[427s] 因为我们讲的这个投资道理非常非常的多
[430s] 但是你穿透到最底层的话
[433s] 股票是长期收益最高的资产
[435s] 投资时间越长
[436s] 正收益的概率越高
[438s] 就是类似这些
[439s] 其实我在参与这个项目之前
[442s] 我也就是听到过
[443s] 类似这样的一些观点
[445s] 但是
[446s] 我觉得海外百年的数据放到这里
[449s] 还有中国21年的数据
[450s] 他放到这里
[451s] 他对我来说
[452s] 会让我对这个任智慧更清晰
[455s] 包括我现在去跟我的一些
[457s] 小白的朋友
[458s] 就是他也想投资嘛
[460s] 其实很多时候
[461s] 我都会用投资年报里面的图给他讲
[464s] 我说你看
[465s] 这就是中国长期的收益数据
[467s] 股票就是这么多
[469s] 那中间可能收益比较低的时候
[471s] 是什么情况
[472s] 我就拿第二张的那个图
[474s] 中国各类投资的年华收益率和不动率
[477s] 他一看他就知道
[479s] 那不同时间点他的这个随机性很强
[481s] 但是时间一拉长
[483s] 他的正收益概率就是高的
[485s] 所以我会觉得年报
[486s] 虽然他难堵
[487s] 但是图标好看啊朋友
[489s] 我真的接一小白朋友
[490s] 真的可以看一看
[492s] 或者投资新手吧
[493s] 我觉得刚开始
[494s] 其实你接触这个东西会非常好
[496s] 我觉得就像减肥一样朋友们
[499s] 就是减肥的方法
[500s] 大家说过很多什么
[501s] 16加8什么生同隐实法
[504s] 但实际上就是什么
[505s] 就是你的少时多动
[506s] 非常普速的
[507s] 大家都知道的这个道理
[509s] 回归这种普速的话
[511s] A股的多动很大的这种市场环境
[513s] 对我来说
[514s] 就是大胆开卖一下
[516s] 我觉得对我影响
[517s] 没有那么大
[518s] 我对要不得多么高的收益的这件事
[522s] 不会有太多的望念
[524s] 这么说准确不动的
[525s] 我觉得你的用词用得很精准
[529s] 有进步啊
[530s] 但是你当时看到
[531s] 那个21年的数据
[532s] 你不会觉得有点怀疑吗
[534s] 因为海外是百年的数据吗
[535s] 你会觉得说
[536s] 百年总结出这个归归
[538s] 我觉得还合理
[539s] 而且A股的21年中的前10年和后10年
[542s] 还是有点不一样的
[543s] 因为我们数据的起点是05年嘛
[545s] 当时是股份之改革
[546s] 那很多人可能就会挑战你说
[549s] 因为你是拿05年起算的
[551s] 然后当时是一个收益的挖地
[554s] 那导致前10年
[555s] 包括我们可能就是0607年的牛市啊
[558s] 然后前10年的体感特别好
[560s] 那如果是16年经常的
[562s] 后10年的体感
[563s] 又跟前10年完全不一样
[564s] 所以就是一种风云变换
[566s] 可能前10年是绿州后10年是沙漠
[569s] 这样的一种体感上的切换
[571s] 会让人觉得
[572s] 那这个21年的数据
[574s] 真的是可以像海外
[575s] 100年的数据一样
[576s] 那么有指导意义吗
[577s] 我觉得是这样的
[579s] 我自己的理解
[580s] 大家对投资小研究的程度是不一样的
[583s] 你能达到投资上的安心的程度也是不一样的
[587s] 那对我来说
[588s] 我很明确
[589s] 我不是一个要自己去操作的一个投资者
[592s] 目前的这个数据
[594s] 它对我来说
[595s] 已经可以跟我理解的
[597s] 那些认知去对上号了
[599s] 那当然它的数据很短
[601s] 我们在年报里边也写了
[603s] 这也是为什么
[603s] 我们接下来会每一年去持续更新吗
[606s] 但是我觉得它只有这么长时间的数据
[609s] 对不对
[609s] 而且这个数据
[610s] 我觉得对我来说
[611s] 有一个很大的感受
[612s] 就是准确的数字
[614s] 其实没有那么重要
[616s] 但是它能给到我一个区间
[619s] 不同的资产
[620s] 它的收益的区间之间
[621s] 事情反而会对我更有帮助
[624s] 那我就能去判断它是不是和我
[627s] 但我坦率讲
[628s] 我是不是质疑过动大你的这个数据
[631s] 是不是准确我没有质疑过
[633s] 因为我觉得这就是我能安心的程度
[636s] 同样的很好的一点是讲到
[637s] 我们对数据的容忍度和它的这种
[640s] 精确值的要求到底有多高
[642s] 确实是哪怕是美国一百年的数据
[645s] 一百年的这个年号收益率
[647s] 得到现在是一个10.04
[649s] 这10.04这个精确度
[651s] 是不是就是10.04
[652s] 是不是就不能是10.05
[654s] 这个是没有的
[655s] 我们看多长时间的这个统计数据
[658s] 它的精确度都不可能做到
[659s] 跟真实只是百分之一百一样的
[661s] 它一定是有一个波动区间的
[663s] 但是一百年相对月二十年
[666s] 它的这种收缩的确定性就已经更强
[668s] 就相对精确
[670s] 那你是刚才讲了
[671s] 中国二十一年的数据是不是太短了
[673s] 不足以得出一个确定性的规律
[676s] 二十一年相对一百年肯定是短的
[679s] 但是二十一年的数据
[681s] 难道就不能把这个相对一个宽广的
[684s] 一个区间收缩到一个相当的范围吗
[687s] 它肯定是可以的
[688s] 比如说你从我们的土二杆一
[690s] 你就可以看到
[691s] 如果你看一年的数据
[692s] 它的波动范围从正百分之一百多
[695s] 到副百分之七十多
[696s] 波动是这么大
[697s] 但是你只要收收到三年五年十年
[700s] 它就年话税率能够缩见到一个非常大的范围
[702s] 更别提现在二十年
[704s] 也是能够缩见到更接近真实指质
[706s] 这样一个范围
[707s] 这个规律是不会改变的
[709s] 那第二个你说的就是说
[711s] 中国的前十年和后十年
[713s] 有特别大的差别
[714s] 我是不是还能够相信这些数字
[716s] 那我可以坦诚的告诉你
[718s] 当初看这些数字的时候
[719s] 我去看美国的数据
[721s] 欧洲的数据也是带着这个观念去看的
[723s] 我们都说美国的身体性非常强
[725s] 牛上雄短
[726s] 几乎不会有这个回撤
[727s] 或者有回撤的时候
[728s] 时间都很短的这样的这个市场
[729s] 但你如果说把眼光放在美国一百年的历史的话
[733s] 它可不一直都是这样的
[734s] 你想美国把它SB边
[736s] 它每次的开头
[737s] 它都会假
[739s] 美十年
[740s] 比如说上个世纪五十年代
[742s] 六十年代
[743s] 七十年代八十年代
[744s] 它的收缩率
[745s] 你可以去看
[746s] 它也是有区别的
[747s] 也可能是这十年
[748s] 年华收益可能达到百分之十五
[750s] 但是那十年可能收益
[752s] 也只有百分之五
[753s] 甚至百分之三
[754s] 这也是都出现过的
[756s] 所以这是一个普遍的规律
[758s] 不如说中国的十年
[760s] 可能赚钱也可能亏钱
[762s] 到了美国
[763s] 我只要偷十年就肯定赚钱
[764s] 就一直是天梯了
[765s] 对
[766s] 游行
[766s] 如果你只看最近十年
[767s] 你会得出这样的结论
[768s] 但是你看过去一百年
[770s] 你看它的十个十年
[772s] 你就得不出这样的结论了
[774s] 其实也有用户留言说
[777s] 说过去的历史
[779s] 真的可以代表未来吗
[780s] 对
[781s] 然后我就回复了一句
[783s] 我说我说
[784s] 我们没有说过过去历史给它代表未来
[788s] 我们也不认同这个观点
[790s] 但是作为年报来说
[792s] 我们呈现的就是
[793s] 我们认为客观的数据
[795s] 就是随着这个时间的积累
[797s] 大家反而可以去拿这些数据去验证
[801s] 是不是
[802s] 我们认为的它符合我们的那个市场规律
[805s] 另外一点就是我们身处在
[807s] 这个市场的某一个阶段
[809s] 我们经历的东西都只是这个市场
[812s] 很小的一部分
[813s] 一个切片
[814s] 对
[814s] 大家每次都会说这一次不一样
[817s] 因为每一次市场上有事来的时候
[819s] 它可能都是一不同的原因
[821s] 然后形式来的时候
[822s] 也可能是遇到了不同的市场状况
[825s] 但是我想说
[827s] 我在看美国的这个数据
[829s] 和中国的这个市场数据的时候
[832s] 我会觉得说
[833s] 不管是哪个市场
[834s] 其实每一次都不一样
[836s] 刚刚还为此特别做了一个牛雄转化的一个图
[839s] 是不是
[840s] 我们一起做的
[841s] 就是美国本来也有一个这样的图
[843s] 然后
[844s] 尽动就做了我们中国的这个牛雄的市场周期的这个图
[848s] 其实每个切片
[850s] 它的波动率是多少
[852s] 收益率是多少
[853s] 就会发现其实每一次都不一样
[855s] 但是每一次它的市场
[857s] 都是会呈现一个周期性的变化的
[860s] 有雄市就有牛市
[861s] 有牛市就有雄市
[863s] 然后中间还有转换的这个时间
[865s] 只是我们身处在其中的某一个
[868s] 时间段的时候
[869s] 我们可能看不清全部
[871s] 但是我们也能看到它的市场是呈现周期性的规律的
[876s] 其实我觉得
[877s] 历史上
[877s] 我们说过很多次
[878s] 这一次真的不一样
[880s] 对我来说是一个很有趣的点
[882s] 因为我们身处现在的这个时空
[884s] 可能我们对于之前发生了什么
[886s] 已经没有那么大的题杆了
[888s] 可能你之前的新奋和焦虑
[890s] 就已经大王就比如说
[891s] 如果有机会的话
[892s] 我们是不是可以帮大家回数一下
[894s] 举几个例子来说
[895s] 之前我们在哪一些事件说过
[898s] 这次真的不一样
[899s] 然后之后的结果又是什么
[901s] 反正我印象就真的可能是2008年
[904s] 那次拳球金融危机
[905s] 第一次这种就是说
[907s] 金融上的这个新闻
[908s] 占据了所有这个新闻投条的一个时刻
[911s] 甚至一度比2008年奥运会这个新闻还要热门
[915s] 当时我刚毕业在一个美国的公司工作
[918s] 所以能看到很多的美国的同事
[919s] 也优星冲冲的
[921s] 他们的机前都跌了
[923s] 我不知道是他们的机权还是他们的股票
[924s] 但是能够感受到就是
[926s] 大家都很担心
[927s] 担心到不只是说我自己的股票这个价值
[930s] 这个降低了
[931s] 甚至可能担心说带来的公司的倒闭潮
[935s] 就他已经不只是一个金融领域的一个事情了
[937s] 已经扩展到所有的经济领域了
[939s] 当时申出那个炫窩的时候
[940s] 大家担心的是完了
[942s] 金融世界完了
[944s] 甚至会影响经济世界完了
[946s] 大批的公司要倒闭
[948s] 大批的人要失业
[949s] 虽然这个风暴是从那个美国开始的
[951s] 那对中国的影响很明显的
[953s] 就是大家可能现在想不到了
[955s] 过去十几年
[956s] 大家老说中国的这个房市
[958s] 一直是往上走的
[959s] 但08年的中国的房市
[961s] 也受这个的影响是下降了
[963s] 就房店卖不出去了
[964s] 大家最担心的就是
[965s] 中国的经济不行了
[967s] 如果这个国家不出手救的话
[969s] 奥运会可能也办不了了
[970s] 既然那当时会觉得会怀疑
[972s] 奥运会办不了
[973s] 真的
[974s] 08年是中国整个历史上
[976s] 非常深刻的一个年份
[978s] 现在回过头来看
[979s] 因为我有了那段经历
[980s] 在之后再有一些经历的时候
[983s] 比如说古代危机
[984s] 我都觉得好像没有那次那么大
[986s] 就是大家都恐慌和担心
[988s] 完全没有超过那次
[989s] 还离得有点远
[990s] 但是对我来说
[991s] 我会觉得你讲08年它是一个极值
[994s] 当然你也可以说
[995s] 你看经过这么一个极值的事件
[997s] 市场不也修复过来了
[998s] 经济不也修复过来了
[1000s] 可是我就觉得
[1001s] 身处不同的事件当中
[1003s] 我的焦虑情绪并没有
[1004s] 因为这个事件是不是一个极值而变得更少
[1008s] 就比如说我再经历一次
[1010s] 可能大家又说
[1011s] 答应后来这次真的不一样
[1012s] 虽然它不是一个金融风暴
[1014s] 那么大的
[1014s] 我觉得我并不会因此更不焦虑
[1017s] 我仍然觉得说
[1018s] 这对我来说是一个大事件
[1020s] 对
[1020s] 我记得到23年
[1022s] 24年的时候
[1023s] 大家真的就是非常的悲观
[1025s] 大家都自吵
[1028s] 说什么
[1029s] 今天果是爹了
[1030s] 吃个面
[1032s] 这种比较夸张一点的描述手法
[1036s] 观灯吃面是A股的一个
[1038s] 时间很长的一个手法
[1039s] 今天股是又大爹了
[1041s] 我只能在加末末的观灯吃面
[1042s] 就是一个哭泣的表情
[1044s] 确实
[1045s] 因为我们也身处在这个行业
[1047s] 本身我们的人力资本就在这个行业里
[1050s] 所以大家对金融市场
[1053s] 就比较悲观的时候
[1054s] 其实也会在担心这个行业还能不能做下去了
[1058s] 就双重的情绪上的这种感受吧
[1061s] 但是在这个比较难好的时期
[1065s] 我们还是要尽力去做一些
[1068s] 能够让自己跟舒服的一些合理的操作
[1072s] 就比如说做自然配置
[1074s] 其实我是一直比较注重自然配置的
[1078s] 因为我觉得手心它没有那么复杂
[1080s] 对于你个人来说
[1082s] 它体现了你的一种风险偏好
[1085s] 比如说像童童
[1087s] 然后像Ami可能就在刚开始投资的时候
[1091s] 就会觉得我要把我的收益拉高
[1093s] 把我的丑马百分百压入潜益
[1096s] 对
[1096s] 你们要非常多的这个潜益类资产
[1098s] 最好是我剩下的所得的钱
[1100s] 我都能够投到潜益里面去
[1102s] 但是对我来说不是这样的
[1104s] 我会觉得它能够更大概率的打到我的期望
[1110s] 会比我要拿到一个多高的收益
[1113s] 我更看重一些
[1114s] 比如说我有一个心理掌火
[1117s] 可能是我三年之后
[1120s] 我要用来付买房手付的钱
[1122s] 我就会想
[1123s] 我大概能比较问的拿到一个多少的收益率
[1127s] 比如说可能就是三百分之四
[1130s] 有的人预期可能就不是这样
[1132s] 就是认为我的股票未来比例可能比较高
[1136s] 我的收益率可能打到百分之七百分之八
[1138s] 甚至百分之十十百分之十几
[1140s] 那我就不是这样想
[1141s] 我会按一个比较低的一个收益率来算
[1144s] 而且我希望这笔钱能够问一点
[1146s] 那我就会配更多的债券类的资产
[1149s] 全一类的我就会少一些
[1152s] 然后我更追求就是
[1154s] 它能够更大概率的去实现
[1157s] 我三年之后要付手付的这个目标
[1160s] 后面就是我在二年
[1163s] 因为我整个投资的时间也不是很长
[1165s] 所以刚开始的时候
[1166s] 我肯定是只配了
[1168s] 只买了这个国内的资产的
[1170s] 大家也知道在那个市场下
[1172s] Ego一路下跌
[1174s] 大家其实都很难受
[1175s] 但是就会想说
[1177s] 做那些我自己能做的
[1178s] 我是不是可以买一些海外的资产
[1181s] 然后来我就开始去买了一些美元理财
[1185s] 其实我也控制了比例
[1186s] 我并不是说拿这一部分钱去
[1189s] 搏得一个多高的收益
[1191s] 而是说它能够让我分散掉风险
[1195s] 它整个的自然配置
[1197s] 能让我在各种市场上都
[1199s] 不至于会很难受
[1200s] 就二三年其实也一直在跌
[1202s] 包括到二四年
[1204s] 我因为有了这些战权的资产
[1206s] 因为有了这些海外的资产
[1208s] 我整个的资产配置里面
[1210s] 还是一个真手艺的
[1211s] 那个时候我其实
[1213s] 大家就说那个市场很不好
[1215s] 就不太会影响到我的情绪
[1217s] 我还是能够拿得住的
[1219s] 然后我才能够享受到
[1221s] 现在市场上涨带来的这些手艺
[1224s] 所以把自己能做的做了
[1227s] 剩下那一部分就是市场
[1229s] 市场的这一部分是你无法预制的
[1231s] 比如说我在凶食
[1232s] 它什么时候能涨下来
[1233s] 它能涨到多高
[1235s] 这个是我们预测不了的
[1236s] 就你做好自己的事情之后
[1238s] 你是不是还能够接受这个市场
[1241s] 它就是会有这样的变化
[1243s] 你还想不想信
[1245s] 它还会涨上来
[1247s] 因为过去虽然都听大家这么说
[1249s] 比如说自然配置
[1251s] 决定大部分的收益
[1252s] 市场就是要周期的
[1254s] 这些我们都只是听到一些
[1256s] 类似于经济的这种东西
[1259s] 但是我们没有数据的支撑
[1261s] 反而是那几年
[1262s] 因为我们坐了它的机场年报
[1264s] 我真实的看到了有这样的数据
[1268s] 而且数据呈现出来的
[1270s] 不管是中国的还是海外的
[1272s] 它其实都有这样的市场回律
[1276s] 所以那我就觉得我相信
[1278s] 对 我是相信了
[1279s] 我还能牵几年
[1281s] 对 我还能牵这就是
[1282s] 我觉得我们做这些事情
[1284s] 对我自己个人的一个很重要的意义
[1287s] 刚好顺着这个可以讲一下
[1289s] 当时23年24年的时候
[1292s] 在App上的时候
[1293s] 我们也能感受到
[1294s] 每个人的心情都是还是比较荡的
[1296s] 我记得那个时候
[1298s] 我们当时发了一个互动的话题
[1301s] 就是当下你的安全感
[1303s] 主要来自于哪里
[1304s] 很多用户的留言
[1306s] 就是它本身的财务状况
[1309s] 市场股是在跌不错
[1311s] 但是它本身工作比较稳定
[1314s] 每个月在还自己的复债
[1316s] 每一笔钱
[1317s] 我按照四笔钱那种配置
[1318s] 我该怎么投去怎么投
[1320s] 我去做好我的备用金的安排
[1323s] 每一天能看到自己的家庭资产
[1326s] 整个结构是健康的这件事情
[1328s] 对它来说是非常有安全感的
[1331s] 有一点这种不确定性中的
[1333s] 确定性的感觉
[1334s] 这些确定性
[1335s] 其实是对抗
[1337s] 你在那种
[1338s] 整个市场纷为特别
[1340s] 第一的时候的
[1341s] 能够掌握的那些矛点
[1343s] 那像中国大类资产年报的话
[1346s] 我觉得它是另外一种矛点
[1348s] 就是你知道市场情况是这样的
[1351s] 但是你相信它还是有周期的
[1354s] 我觉得周期这件事情其实也很普宿
[1356s] 就像春夏秋冬一样
[1358s] 它就是这样的
[1359s] 你不接受你也接受
[1361s] 你有什么办法呢
[1362s] 住在温室里边离开这个春夏秋冬
[1365s] 也可以啊
[1365s] 那你就是不参与股市的投资
[1367s] 我认识一个用户
[1368s] 我非常喜欢它
[1369s] 它是一个风险片号及低的人
[1371s] 它指头再缺啊
[1373s] 最多最多投一点
[1374s] 稳钱账户少量配置股票的这种
[1377s] 然后它哪怕知道现在的这个定期存款的收益非常低
[1381s] 它还是会愿意去做这些事情
[1383s] 我为什么非常喜欢它呢
[1385s] 因为我觉得它知道自己在干什么
[1388s] 它很清楚我可以承受多大的波动
[1391s] 我的风险片号是一个什么样的
[1393s] 这个我就觉得很好
[1394s] 这市场是不稳定的
[1396s] 但是你内心有自己的这种矛点
[1398s] 也就是在那个时候
[1399s] 本人配置起来自己的背勇气
[1403s] 我发现在那个市场
[1404s] 实际低迷的时候
[1406s] 我哪怕知道长期投资是对的
[1410s] 但大部分的资产在长期这件事情上
[1413s] 它还是会影响我的情绪
[1415s] 就是在当时这个大跌之前
[1417s] 其实你大部分的钱都是在这种权益类资产里面
[1420s] 你是没有留很多稳钱的什么
[1422s] 你是没有留备用金的当时
[1424s] 对啊
[1425s] 我当时没有留备用金
[1426s] 我当时觉得长钱的波动就很小了
[1429s] 很自信
[1430s] 当初想的都是
[1431s] 我要用最高的收益尽快的
[1433s] 让家庭财富尽快翻倍
[1435s] 对
[1435s] 尽快冲冲冲起来
[1437s] 我有这种想法
[1438s] 我来发现了朋友们
[1439s] 忘念呀
[1440s] 投资能够报复都是忘念呀
[1443s] 还是他他是去赚钱比较好
[1445s] 你收益在高你的绝对之低
[1447s] 那有什么办法呢
[1449s] 谁手里边没有几支
[1450s] 投资很少
[1451s] 但是收益力极高的估
[1453s] 激进了
[1454s] 对吧
[1455s] 对
[1455s] 就是同同刚讲这个
[1457s] 其实也讲到我们的这个第六章
[1460s] 也是做了这个年报之后
[1462s] 才意识到一件事情
[1464s] 就是高风险高收益的理解
[1467s] 在第六章有那个风险一架土
[1469s] 几个不同的风险一架
[1471s] 跌在一起的那个土
[1473s] 嗯是的
[1474s] 刚刚这里提到的这张土表
[1476s] 是年报第六章中的
[1478s] 中国各类资产风险一架土
[1480s] 这个土委会放在收到此里面
[1482s] 其实是这个土
[1483s] 我非常的喜欢
[1484s] 它非常萤幕了然
[1486s] 对 我觉得在这个土里面
[1487s] 我其实学到了两件很重要的事情
[1491s] 一个就是
[1492s] 所谓的投资
[1494s] 我们到底在干嘛
[1495s] 那我们原来可能会觉得
[1497s] 就是说这个收益率高
[1499s] 所以
[1500s] 你要它的风险是高的
[1502s] 但是其实
[1503s] 它的这个罗今天是反过来的
[1505s] 我们是为了拿到那个更高的收益
[1508s] 所以才可以接受它的风险高一些
[1511s] 就是相反过来是
[1512s] 因为它首先风险很高
[1515s] 所以它的收益才高
[1516s] 就像之前我们福建人嘛
[1518s] 它会去悬崖敲闭上摘验握
[1520s] 是因为当时的验握试架非常非常的高
[1523s] 所以大家才愿意就穿一个马祖
[1525s] 就出发了
[1526s] 因为摘验握要付出很高的风险
[1529s] 验握很稀缺
[1530s] 所以它的价才那么高
[1531s] 对 我觉得这个其实
[1532s] 放在生活当中
[1533s] 它就是一个很酥的道理
[1535s] 但是我们在市场当中
[1536s] 常常会忽略这件事情
[1538s] 比如说我们才去买一个投资产品的时候
[1541s] 我相信绝大部分人
[1543s] 它都会根据说
[1545s] 这个收益率是不是高
[1546s] 它是不是红的
[1548s] 它现在是不是在排红榜的前列
[1550s] 然后来看我是不是应该要买这个产品
[1553s] 就像我们土化说富贵贤都求了
[1557s] 对 但是其实大家眼睛在顶着这个收益的时候
[1560s] 它其实意识不到后面的风险的
[1562s] 但是我在做了这个年报之后
[1565s] 我会更加注意这些东西
[1568s] 我之前去看一个投资产品的时候
[1571s] 我可能也是会更多的去看
[1573s] 它的收益率
[1574s] 但是现在我去看一个产品的时候
[1577s] 我会看这么几点
[1578s] 一个是说它的业绩基准是什么
[1582s] 投资这些资产
[1583s] 你应该获得多少的钱
[1585s] 那我这个产品它是不是达到了
[1588s] 在这个基础之上
[1591s] 还是说它其实跑输了
[1593s] 然后第二个的话就是背后投资的到底是啥
[1598s] 比如说债券它还有自己的风险收益的质
[1603s] 然后股票它也有自己的质
[1605s] 然后股票里面可能那个大盘股小盘股也不一样
[1609s] 债券里面这个短期的长期的信用人债判也会不一样
[1614s] 那我去看它的这个底层的资产就是为了知道
[1618s] 它合理的一个收益范围市场北踏应该是多少
[1623s] 然后它除了北踏收益之外还有没有其他更高的收益
[1626s] 那这些收益是怎么来的
